"ADAM HENRY","adam.henry@gmail.com","+33623467890","27 AVENUE DE TOULON","","13006","MARSEILLE","FRA"
"LOLA MASSON","lola.masson@orange.fr","+33690112345","61 RUE DE LA REPUBLIQUE","","13002","MARSEILLE","FRA"
"NATHAN ANDRE","nathan.andre@gmail.com","+33645601278","8 RUE ALSACE LORRAINE","","31000","TOULOUSE","FRA"
"EVA LEMAIRE","eva.lemaire@outlook.fr","+33678912340","20 PLACE DU CAPITOLE","","31000","TOULOUSE","FRA"
"THEO GUERIN","theo.guerin@free.fr","+33612345098","35 RUE DE METZ","","31000","TOULOUSE","FRA"
"LISA MULLER","lisa.muller@hotmail.com","+33698701234","12 ALLEE JEAN JAURES","APT 2","31000","TOULOUSE","FRA"
"OSCAR DAVID","oscar.david@gmail.com","+33634590178","48 RUE DU TAUR","","31000","TOULOUSE","FRA"
"NINA THOMAS","nina.thomas@laposte.net","+33667823401","6 BOULEVARD DE STRASBOURG","","31000","TOULOUSE","FRA"
"LEO ROBERT","leo.robert@sfr.fr","+33656712340","24 RUE BAYARD","","31000","TOULOUSE","FRA"
"MAYA RICHARD","maya.richard@gmail.com","+33689001234","39 RUE PARGAMINERES","BATIMENT B","31000","TOULOUSE","FRA"
"ETHAN PETIT","ethan.petit@protonmail.com","+33623456012","13 PLACE WILSON","","31000","TOULOUSE","FRA"
"ROSE DUMONT","rose.dumont@orange.fr","+33690123401","56 AVENUE DE LYON","","31000","TOULOUSE","FRA"
